artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,ID,Gender,Age,Country,Genres,Followers,URI
Calvin Harris,Bounce (feat. Kelis) - Radio Edit,222186,FALSE,2012,62,0.779,0.963,2,-2.125,0,0.0399,0.0334,0.493,0.664,0.759,127.941,"hip hop, pop, Dance/Electronic",7CajNmpbOovFoOoasH2HaY,male,36,GB,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",23513482,spotify:artist:7CajNmpbOovFoOoasH2HaY
Muse,Supermassive Black Hole,212439,FALSE,2006,75,0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120,rock,12Chz98pHFMPJEknJQMWvI,mixed,26,GB,"['alternative rock', 'modern rock', 'permanent wave', 'rock']",7755623,spotify:artist:12Chz98pHFMPJEknJQMWvI
Calvin Harris,Summer,224506,FALSE,2014,21,0.603,0.861,4,-3.565,0,0.0325,0.0215,0.043,0.1,0.72,127.962,"hip hop, pop, Dance/Electronic",7CajNmpbOovFoOoasH2HaY,male,36,GB,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",23513482,spotify:artist:7CajNmpbOovFoOoasH2HaY
Nelly,Just A Dream,237800,FALSE,2010,73,0.531,0.752,1,-6.161,1,0.0305,0.0421,0,0.12,0.103,89.917,"hip hop, pop, R&B",2gBjLmx6zQnFGQJCAQpRgw,male,45,US,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",2614317,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw
David Guetta,Gettin' Over You (feat. Fergie & LMFAO),188000,FALSE,2010,62,0.615,0.913,10,-5.077,0,0.0816,0.178,0,0.0773,0.45,129.944,"hip hop, pop, Dance/Electronic",1Cs0zKBU1kc0i8ypK3B9ai,male,52,FR,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26584415,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
Paramore,Misery Business,211520,FALSE,2007,72,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26E-06,0.113,0.731,172.977,"pop, rock",74XFHRwlV6OrjEM0A2NCMF,mixed,18,US,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",8254208,spotify:artist:74XFHRwlV6OrjEM0A2NCMF
Keyshia Cole,Let It Go,238360,FALSE,2007,58,0.808,0.721,1,-5.165,1,0.213,0.197,0,0.205,0.773,94.955,"hip hop, pop, R&B",1vfezMIyCr4XUdYRaKIKi3,female,38,US,"['hip pop', 'r&b', 'urban contemporary']",3760904,spotify:artist:1vfezMIyCr4XUdYRaKIKi3
Kylie Minogue,Wow,190973,FALSE,2007,47,0.654,0.884,9,-5.466,1,0.202,0.151,0.000268,0.379,0.851,124.072,"pop, Dance/Electronic",4RVnAU35WRWra6OZ3CbbMA,female,52,AU,"['australian dance', 'australian pop', 'dance pop', 'eurodance', 'new wave pop']",1870729,spotify:artist:4RVnAU35WRWra6OZ3CbbMA
Rich The Kid,Plug Walk,175229,TRUE,2018,72,0.876,0.519,11,-6.531,1,0.143,0.202,0,0.108,0.158,94.981,"hip hop, pop",1pPmIToKXyGdsCF6LmqLmI,male,28,US,"['atl hip hop', 'melodic rap', 'plugg', 'rap', 'trap']",3202410,spotify:artist:1pPmIToKXyGdsCF6LmqLmI
Britney Spears,Toxic,198800,FALSE,2003,81,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,pop,26dSoYclwsYLMAKD3tpOr4,female,38,US,"['dance pop', 'pop']",13488107,spotify:artist:26dSoYclwsYLMAKD3tpOr4
Kiesza,Hideaway,251986,FALSE,2014,64,0.838,0.72,7,-4.135,0,0.0483,0.0862,0.00696,0.0772,0.203,122.993,"pop, Dance/Electronic",4zxvC7CRGvggq9EWXOpwAo,female,31,CA,"['electropop', 'pop edm']",294460,spotify:artist:4zxvC7CRGvggq9EWXOpwAo
Justin Bieber,Beauty And A Beat,227986,FALSE,2012,73,0.602,0.843,0,-4.831,1,0.0593,0.000688,5.27E-05,0.0682,0.526,128.003,pop,1uNFoZAHBGtllmzznpCI3s,male,26,CA,"['canadian pop', 'pop']",75112165,spotify:artist:1uNFoZAHBGtllmzznpCI3s
Olly Murs,Up (feat. Demi Lovato),224293,FALSE,2014,0,0.69,0.845,9,-4.676,1,0.0339,0.0193,0,0.101,0.638,114.948,"pop, Dance/Electronic",3whuHq0yGx60atvA2RCVRW,male,36,GB,"['dance pop', 'pop', 'talent show']",3311184,spotify:artist:3whuHq0yGx60atvA2RCVRW
Martin Garrix,Scared to Be Lonely,220883,FALSE,2017,77,0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,"pop, Dance/Electronic",60d24wfXkVzDSfLS6hyCjZ,male,24,NL,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",15781508,spotify:artist:60d24wfXkVzDSfLS6hyCjZ
Armin van Buuren,This Is What It Feels Like,204360,FALSE,2013,66,0.551,0.833,8,-5.217,1,0.03,0.0391,2.77E-06,0.0632,0.145,129.885,"pop, Dance/Electronic",0SfsnGyD8FpIN4U4WCkBZ5,male,43,NL,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",4365245,spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5
Selena Gomez,Kill Em With Kindness,217906,FALSE,2015,64,0.757,0.884,10,-5.488,0,0.0404,0.00795,5.87E-05,0.0973,0.398,120.012,pop,0C8ZW7ezQVs4URX5aX7Kqx,female,28,US,"['pop', 'post-teen pop']",47194902,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx
Ariana Grande,The Way,227026,FALSE,2013,65,0.645,0.878,5,-3.208,0,0.113,0.294,0,0.076,0.862,82.324,pop,66CXWjxzNUsdJxJ2JdwvnR,female,27,US,['pop'],95710972,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",207333,TRUE,2011,77,0.715,0.655,0,-6.425,1,0.137,0.0525,0,0.115,0.531,95.078,"hip hop, pop",7hJcb9fa4alzcOq3EaNPoG,male,48,US,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",10780809,spotify:artist:7hJcb9fa4alzcOq3EaNPoG
A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",233786,TRUE,2013,76,0.853,0.693,1,-6.87,1,0.275,0.0239,0,0.11,0.662,95.967,hip hop,13ubrt8QOOCPljQ2FL1Kca,male,31,US,"['east coast hip hop', 'hip hop', 'rap', 'trap']",13232770,spotify:artist:13ubrt8QOOCPljQ2FL1Kca
Jason Aldean,Big Green Tractor,204200,FALSE,2009,50,0.616,0.596,4,-5.035,1,0.0289,0.654,0,0.218,0.58,137.077,country,3FfvYsEGaIb52QPXhg4DcH,male,43,US,"['contemporary country', 'country', 'country road', 'modern country rock']",6429854,spotify:artist:3FfvYsEGaIb52QPXhg4DcH
Coldplay,Clocks,307879,FALSE,2002,79,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,"rock, pop",4gzpq5DPGxSnKTe4SA8HAU,mixed,23,GB,"['permanent wave', 'pop']",48792512,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU
Linkin Park,Breaking the Habit,196906,FALSE,2003,68,0.579,0.849,4,-5.218,0,0.0303,0.108,0,0.0909,0.581,100.021,"rock, metal",6XyY86QOPPrYVGvF9ch6wz,mixed,21,US,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",24974390,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),255266,FALSE,2002,61,0.859,0.658,8,-4.481,1,0.192,0.0326,0.00181,0.0651,0.538,98.989,pop,1l7ZsJRRS8wlW3WfJfPfNS,female,39,US,"['dance pop', 'pop']",7991477,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS
Linkin Park,Bleed It Out,166373,TRUE,2007,73,0.529,0.967,1,-3.647,0,0.0508,0.114,0,0.61,0.596,140.127,"rock, metal",6XyY86QOPPrYVGvF9ch6wz,mixed,21,US,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",24974390,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
Lady Gaga,Born This Way,260253,FALSE,2011,72,0.587,0.828,11,-5.108,1,0.161,0.00327,0,0.331,0.494,123.907,pop,1HY2Jd0NmPuamShAr6KMms,female,34,US,"['art pop', 'dance pop', 'pop']",28787306,spotify:artist:1HY2Jd0NmPuamShAr6KMms
Robbie Williams,Radio,233600,FALSE,2004,33,0.607,0.874,5,-5.409,0,0.0349,0.00331,0.0494,0.26,0.846,130.015,"pop, rock",2HcwFjNelS49kFbfvMxQYw,male,46,GB,"['dance rock', 'europop']",2818232,spotify:artist:2HcwFjNelS49kFbfvMxQYw
Sam Smith,Dancing With A Stranger (with Normani),171029,FALSE,2019,75,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97E-06,0.222,0.347,102.998,pop,2wY79sveU1sp5g7SokKOiI,other,28,GB,"['pop', 'uk pop']",23538152,spotify:artist:2wY79sveU1sp5g7SokKOiI
Jessica Simpson,With You,191826,FALSE,2003,57,0.553,0.756,0,-4.583,1,0.108,0.0923,0,0.215,0.605,94.487,"pop, R&B",2tFN9ubMXEhdAQvdQxcsma,female,40,US,"['dance pop', 'post-teen pop']",1280830,spotify:artist:2tFN9ubMXEhdAQvdQxcsma
Ginuwine,In Those Jeans,243306,TRUE,2003,59,0.691,0.541,1,-5.873,1,0.0776,0.508,0,0.0753,0.319,127.683,"hip hop, pop, R&B",7r8RF1tN2A4CiGEplkp1oP,male,49,US,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",2552308,spotify:artist:7r8RF1tN2A4CiGEplkp1oP
Avicii,Without You (feat. Sandro Cavazza),181672,TRUE,2017,77,0.662,0.858,2,-4.844,1,0.0428,0.00163,0,0.0456,0.295,133.993,"pop, Dance/Electronic",1vCWHaC5f2uS3yhpwWbIA6,male,28,SE,"['dance pop', 'edm', 'pop', 'pop dance']",23305127,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6
Black Eyed Peas,Hey Mama,214893,TRUE,2003,49,0.86,0.866,4,-6.345,0,0.232,0.104,1.42E-06,0.584,0.933,100.15,"hip hop, pop",1yxSLGMDHlW21z4YXirZDS,mixed,25,US,"['dance pop', 'pop', 'pop rap']",7892622,spotify:artist:1yxSLGMDHlW21z4YXirZDS
Marshmello,FRIENDS,202620,TRUE,2018,78,0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,"pop, Dance/Electronic",64KEffDW9EtZ1y2vBYgq8T,male,28,US,"['brostep', 'edm', 'pop', 'progressive electro house']",35223255,spotify:artist:64KEffDW9EtZ1y2vBYgq8T
Twenty One Pilots,Stressed Out,202333,FALSE,2015,83,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29E-05,0.0602,0.648,169.977,rock,3YQKmKGau1PzlVlkL1iodx,mixed,11,US,"['modern rock', 'pop', 'pov: indie', 'rock']",24217691,spotify:artist:3YQKmKGau1PzlVlkL1iodx
Shawn Mendes,Mercy,208733,FALSE,2017,0,0.561,0.674,4,-4.882,0,0.0818,0.118,0,0.111,0.383,148.127,pop,7n2wHs1TKAczGzO7Dd2rGr,male,21,CA,"['canadian pop', 'pop', 'viral pop']",42978639,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr
Khalid,Love Lies (with Normani),201707,FALSE,2018,73,0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,"pop, R&B",6LuN9FCkKOj5PcnpouEgny,male,22,US,"['pop', 'pop r&b']",16282583,spotify:artist:6LuN9FCkKOj5PcnpouEgny
Adele,Hello,295502,FALSE,2015,1,0.471,0.431,5,-6.129,0,0.0342,0.329,0,0.0854,0.289,157.98,"pop, R&B",4dpARuHxo51G3z768sgnrY,female,32,GB,"['british soul', 'pop', 'pop soul', 'uk pop']",53224523,spotify:artist:4dpARuHxo51G3z768sgnrY
Olly Murs,Dear Darlin',206373,FALSE,2012,59,0.512,0.828,11,-4.672,0,0.0454,0.00627,8.73E-06,0.119,0.34,124.021,"pop, Dance/Electronic",3whuHq0yGx60atvA2RCVRW,male,36,GB,"['dance pop', 'pop', 'talent show']",3311184,spotify:artist:3whuHq0yGx60atvA2RCVRW
Lady A,Need You Now,236440,FALSE,2010,73,0.581,0.717,4,-4.433,1,0.0318,0.0298,0.000186,0.243,0.316,107.884,"pop, country",32WkQRZEVKSzVAAYqukAEA,mixed,14,US,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",3814669,spotify:artist:32WkQRZEVKSzVAAYqukAEA
One Direction,Steal My Girl,228133,FALSE,2014,79,0.536,0.768,10,-5.948,0,0.0347,0.00433,0,0.114,0.545,77.217,pop,4AK6F7OLvEQ5QYCBNiQWHq,mixed,10,GB,"['boy band', 'pop', 'post-teen pop', 'talent show']",34219112,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq
Rita Ora,I Will Never Let You Down,203466,FALSE,2014,65,0.753,0.801,4,-3.215,1,0.0296,0.403,0,0.128,0.794,128.011,"hip hop, pop, Dance/Electronic",5CCwRZC6euC8Odo6y9X8jr,female,29,GB,"['dance pop', 'pop', 'uk pop']",8393377,spotify:artist:5CCwRZC6euC8Odo6y9X8jr
Craig David,7 Days,235133,FALSE,2000,70,0.659,0.812,4,-7.499,0,0.0487,0.23,0,0.0951,0.888,83.014,"hip hop, pop, R&B",2JyWXPbkqI5ZJa3gwqVa0c,male,39,GB,['british soul'],878295,spotify:artist:2JyWXPbkqI5ZJa3gwqVa0c
Craig David,Fill Me In,257200,FALSE,2000,60,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,"hip hop, pop, R&B",2JyWXPbkqI5ZJa3gwqVa0c,male,39,GB,['british soul'],878295,spotify:artist:2JyWXPbkqI5ZJa3gwqVa0c
Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",229670,TRUE,2018,71,0.645,0.705,1,-5.008,1,0.299,0.000813,0,0.128,0.376,137.133,"hip hop, pop",28ExwzUQsvgJooOI0X1mr3,male,34,US,"['conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",1463138,spotify:artist:28ExwzUQsvgJooOI0X1mr3
Taylor Swift,...Ready For It?,208186,FALSE,2017,73,0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,pop,06HL4z0CvFAxyc27GXpf02,female,30,US,['pop'],95859165,spotify:artist:06HL4z0CvFAxyc27GXpf02
Wiz Khalifa,"Work Hard, Play Hard",219026,TRUE,2012,62,0.787,0.666,11,-4.475,1,0.0485,0.0409,1.91E-05,0.296,0.485,140.008,"hip hop, pop",137W8MRPWKqSmrBGDBFSop,male,32,US,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",11266000,spotify:artist:137W8MRPWKqSmrBGDBFSop
Alessia Cara,Here,199453,FALSE,2015,0,0.379,0.799,0,-4.031,1,0.163,0.0804,0,0.0793,0.359,120.892,"pop, R&B",2wUjUUtkb5lvLKcGKsKqsR,female,24,CA,"['canadian contemporary r&b', 'canadian pop', 'pop']",11936770,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",285586,FALSE,2004,69,0.713,0.471,1,-7.392,0,0.483,0.421,0,0.0308,0.779,199.764,"hip hop, pop",59wfkuBoNyhDMQGCljbUbA,male,50,US,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']",1614792,spotify:artist:59wfkuBoNyhDMQGCljbUbA
Fetty Wap,Trap Queen,222093,TRUE,2015,68,0.746,0.873,7,-3.803,1,0.128,0.0244,0,0.354,0.817,148.075,"hip hop, pop",6PXS4YHDkKvl1wkIl4V8DL,male,30,US,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",4598982,spotify:artist:6PXS4YHDkKvl1wkIl4V8DL
MIKA,Grace Kelly,187733,FALSE,2006,69,0.675,0.828,0,-5.799,1,0.0454,0.0242,0.0102,0.364,0.669,122.229,pop,5MmVJVhhYKQ86izuGHzJYA,male,36,GB,['electropop'],1355529,spotify:artist:5MmVJVhhYKQ86izuGHzJYA
Tory Lanez,LUV,228640,TRUE,2016,0,0.688,0.541,11,-8.128,0,0.114,0.0118,0,0.123,0.247,95.109,"hip hop, pop, R&B",2jku7tDXc6XoB6MO2hFuqg,male,28,CA,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",6240538,spotify:artist:2jku7tDXc6XoB6MO2hFuqg
R. City,Locked Away (feat. Adam Levine),227480,FALSE,2015,77,0.509,0.671,1,-5.709,1,0.0678,0.304,0,0.0452,0.55,118.413,pop,4TH4BHy0LdBi3dpBW4P2UX,mixed,17,US,"['reggae fusion', 'virgin islands reggae']",149002,spotify:artist:4TH4BHy0LdBi3dpBW4P2UX
Keyshia Cole,Love,255333,FALSE,2005,72,0.688,0.519,5,-4.285,1,0.0283,0.064,0,0.1,0.318,116.714,"hip hop, pop, R&B",1vfezMIyCr4XUdYRaKIKi3,female,38,US,"['hip pop', 'r&b', 'urban contemporary']",3760904,spotify:artist:1vfezMIyCr4XUdYRaKIKi3
T-Pain,I'm Sprung,231040,FALSE,2005,0,0.722,0.329,0,-11.617,0,0.108,0.088,0,0.081,0.166,99.991,"hip hop, pop, R&B",3aQeKQSyrW4qWr35idm0cy,male,34,US,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",4621317,spotify:artist:3aQeKQSyrW4qWr35idm0cy
Arctic Monkeys,Why'd You Only Call Me When You're High?,161123,FALSE,2013,84,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13E-05,0.104,0.8,92.004,rock,7Ln80lUS6He07XvHI8qqHH,mixed,18,GB,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",22763289,spotify:artist:7Ln80lUS6He07XvHI8qqHH
E-40,U and Dat (feat. T. Pain & Kandi Girl),202720,TRUE,2006,63,0.858,0.484,6,-7.448,0,0.277,0.0241,1.80E-06,0.123,0.329,99.992,"hip hop, pop",3crnzLy8R4lVwaigKEOz7V,male,52,US,"['cali rap', 'hyphy', 'oakland hip hop', 'west coast rap']",868747,spotify:artist:3crnzLy8R4lVwaigKEOz7V
Kelly Rowland,Stole,249293,FALSE,2002,54,0.649,0.718,7,-4.984,0,0.0594,0.00676,4.26E-06,0.174,0.477,79.993,"hip hop, pop, R&B",3AuMNF8rQAKOzjYppFNAoB,female,39,US,"['atl hip hop', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']",3536679,spotify:artist:3AuMNF8rQAKOzjYppFNAoB
The Fray,How to Save a Life,262533,FALSE,2005,79,0.64,0.743,10,-4.08,1,0.0379,0.269,0,0.101,0.361,122.035,pop,0zOcE3mg9nS6l3yxt1Y0bK,mixed,18,US,"['neo mellow', 'piano rock', 'pop', 'pop rock']",4031714,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK
The Chainsmokers,Roses,226738,FALSE,2015,73,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,"pop, Dance/Electronic",69GGBxA162lTqCwzJG5jLp,mixed,8,US,['pop'],20578073,spotify:artist:69GGBxA162lTqCwzJG5jLp
T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones),265333,TRUE,2005,0,0.731,0.368,8,-10.38,1,0.0688,0.00544,0,0.193,0.512,145.171,"hip hop, pop, R&B",3aQeKQSyrW4qWr35idm0cy,male,34,US,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",4621317,spotify:artist:3aQeKQSyrW4qWr35idm0cy
David Guetta,Titanium (feat. Sia),245040,FALSE,2012,79,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,"hip hop, pop, Dance/Electronic",1Cs0zKBU1kc0i8ypK3B9ai,male,52,FR,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26584415,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
T.I.,Bring Em Out,216706,TRUE,2004,63,0.759,0.891,11,-2.983,1,0.257,0.0298,0,0.141,0.587,98.579,"hip hop, pop",4OBJLual30L7gRl5UkeRcT,male,39,US,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",4742702,spotify:artist:4OBJLual30L7gRl5UkeRcT
The Saturdays,Higher,207613,FALSE,2010,61,0.639,0.862,10,-3.292,1,0.0341,0.049,6.81E-06,0.264,0.596,117.011,"pop, Dance/Electronic",15qI5w4XJFLRMwOp2VrlD5,mixed,13,GB,"['dance pop', 'girl group', 'post-teen pop', 'talent show']",775804,spotify:artist:15qI5w4XJFLRMwOp2VrlD5
Jonas Blue,Mama,181614,FALSE,2017,51,0.739,0.792,11,-4.256,0,0.0418,0.091,0,0.0516,0.547,104.016,"pop, Dance/Electronic",1HBjj22wzbscIZ9sEb5dyf,male,30,GB,"['pop', 'pop dance', 'tropical house', 'uk dance']",3849840,spotify:artist:1HBjj22wzbscIZ9sEb5dyf
AlunaGeorge,I'm In Control,209425,FALSE,2016,0,0.734,0.847,11,-3.713,0,0.0346,0.355,0.000144,0.154,0.673,104.013,"pop, Dance/Electronic",2VAnyOxzJuSAj7XIuEOT38,mixed,11,GB,"['electropop', 'uk dance']",437196,spotify:artist:2VAnyOxzJuSAj7XIuEOT38
Rae Sremmurd,Black Beatles,291893,TRUE,2016,75,0.794,0.632,0,-6.163,1,0.0649,0.142,0,0.128,0.355,145.926,"hip hop, pop",7iZtZyCzp3LItcw1wtPI3D,mixed,7,US,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']",7409809,spotify:artist:7iZtZyCzp3LItcw1wtPI3D
The-Dream,I Luv Your Girl,267866,TRUE,2007,62,0.723,0.322,8,-9.702,1,0.0341,0.014,0,0.119,0.0406,90.063,"hip hop, pop, R&B",1W3FSF1BLpY3hlVIgvenLz,male,42,US,"['dirty south rap', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",1284006,spotify:artist:1W3FSF1BLpY3hlVIgvenLz
David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",192560,FALSE,2014,75,0.596,0.73,9,-4.091,1,0.151,0.24,0,0.325,0.525,85.979,"hip hop, pop, Dance/Electronic",1Cs0zKBU1kc0i8ypK3B9ai,male,52,FR,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26584415,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
Leona Lewis,A Moment Like This,257293,FALSE,2007,57,0.261,0.562,8,-3.667,1,0.0301,0.423,7.54E-06,0.131,0.167,70.543,"pop, R&B",5lKZWd6HiSCLfnDGrq9RAm,female,35,GB,"['british soul', 'dance pop', 'pop', 'talent show']",3583308,spotify:artist:5lKZWd6HiSCLfnDGrq9RAm
Luis Fonsi,Despacito (Featuring Daddy Yankee),228200,FALSE,2017,0,0.66,0.786,2,-4.757,1,0.17,0.209,0,0.112,0.846,177.833,"pop, latin",4V8Sr092TqfHkfAA5fXXqG,male,42,PR,"['latin pop', 'puerto rican pop']",11163849,spotify:artist:4V8Sr092TqfHkfAA5fXXqG
Pitbull,International Love (feat. Chris Brown),227280,FALSE,2011,74,0.67,0.855,0,-3.035,0,0.0499,0.0124,0,0.335,0.648,120.05,"hip hop, pop, latin",0TnOYISbd1XYRBk9myaseg,male,39,US,"['dance pop', 'miami hip hop', 'pop']",10383655,spotify:artist:0TnOYISbd1XYRBk9myaseg
Pitbull,Don't Stop the Party (feat. TJR),206120,FALSE,2012,64,0.722,0.958,4,-3.617,1,0.0912,0.00726,0,0.375,0.952,127.008,"hip hop, pop, latin",0TnOYISbd1XYRBk9myaseg,male,39,US,"['dance pop', 'miami hip hop', 'pop']",10383655,spotify:artist:0TnOYISbd1XYRBk9myaseg
Lady A,Just A Kiss,218840,FALSE,2011,63,0.593,0.639,1,-5.826,1,0.0307,0.446,0,0.0998,0.332,142.881,"pop, country",32WkQRZEVKSzVAAYqukAEA,mixed,14,US,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",3814669,spotify:artist:32WkQRZEVKSzVAAYqukAEA
Kendrick Lamar,DNA.,185946,TRUE,2017,0,0.636,0.517,0,-6.759,1,0.36,0.00402,0,0.0874,0.394,139.928,hip hop,2YZyLoL8N0Wb9xBt1NhZWg,male,33,US,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",26350123,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
Take That,Patience,202066,FALSE,2006,64,0.309,0.783,10,-4.154,1,0.0405,0.142,1.11E-06,0.118,0.372,175.788,pop,1XgFuvRd7r5g0h844A5ZUQ,mixed,30,GB,"['boy band', 'europop', 'talent show']",1277769,spotify:artist:1XgFuvRd7r5g0h844A5ZUQ
Avril Lavigne,Complicated,244506,FALSE,2002,78,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74E-06,0.3,0.427,77.987,pop,0p4nmQO2msCgU4IF37Wi3j,female,35,CA,"['canadian pop', 'candy pop', 'dance pop', 'pop']",10579526,spotify:artist:0p4nmQO2msCgU4IF37Wi3j
P!nk,Most Girls,298960,FALSE,2000,52,0.742,0.732,2,-6.046,0,0.0311,0.0424,0.00446,0.101,0.694,97.922,pop,1KCSPY1glIKqW2TotWuXOR,female,40,US,"['dance pop', 'pop']",16228050,spotify:artist:1KCSPY1glIKqW2TotWuXOR
James Blunt,You're Beautiful,209493,TRUE,2005,75,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76E-05,0.088,0.454,81.998,pop,7KMqksf0UMdyA0UCf4R3ux,male,46,GB,['neo mellow'],2912060,spotify:artist:7KMqksf0UMdyA0UCf4R3ux
Lorde,Homemade Dynamite - REMIX,214254,TRUE,2017,8,0.781,0.548,0,-4.997,0,0.0764,0.229,0,0.127,0.175,106.996,"pop, Dance/Electronic",163tK9Wjr9P9DmM0AVK7lm,female,23,NZ,"['art pop', 'metropopolis', 'nz pop', 'pop']",10027736,spotify:artist:163tK9Wjr9P9DmM0AVK7lm
Finger Eleven,Paralyzer,208106,FALSE,2007,73,0.644,0.939,11,-3.486,0,0.0456,0.157,0,0.233,0.861,106.031,"rock, metal",0niJkG4tKkne3zwr7I8n9n,mixed,0,DE,"['alternative metal', 'canadian rock', 'funk metal', 'nu metal', 'post-grunge']",710822,spotify:artist:0niJkG4tKkne3zwr7I8n9n
NF,Let You Down,212120,FALSE,2017,79,0.662,0.714,5,-5.68,0,0.121,0.312,0,0.179,0.464,147.997,"hip hop, pop",6fOMl44jA4Sp5b9PpYCkzz,male,29,US,"['hip hop', 'pop rap']",9305671,spotify:artist:6fOMl44jA4Sp5b9PpYCkzz
Bruno Mars,Talking to the Moon,217866,FALSE,2010,76,0.498,0.59,1,-4.721,0,0.032,0.511,0,0.107,0.0784,145.867,pop,0du5cEVh5yTK9QJze8zA0C,male,34,US,"['dance pop', 'pop']",52946753,spotify:artist:0du5cEVh5yTK9QJze8zA0C
